Date,Revenue
Jan-09,943690
Feb-09,1062565
Mar-09,210079
Apr-09,-735286
May-09,842933
Jun-09,358691
Jul-09,914953
Aug-09,723427
Sep-09,-837468
Oct-09,-146929
Nov-09,831730
Dec-09,917752
Jan-10,800038
Feb-10,1117103
Mar-10,181220
Apr-10,120968
May-10,844012
Jun-10,307468
Jul-10,502341
Aug-10,-748679
Sep-10,-1063151
Oct-10,111367
Nov-10,889322
Dec-10,1028794
Jan-11,-705201
Feb-11,457393
Mar-11,358440
Apr-11,110092
May-11,1111337
Jun-11,691712
Jul-11,669603
Aug-11,527608
Sep-11,1057492
Oct-11,109267
Nov-11,1106492
Dec-11,531744
Jan-12,1134360
Feb-12,-401260
Mar-12,1141606
Apr-12,594289
May-12,51905
Jun-12,415204
Jul-12,467130
Aug-12,270918
Sep-12,589902
Oct-12,1056793
Nov-12,250079
Dec-12,91344
Jan-13,431100
Feb-13,801964
Mar-13,50115
Apr-13,525242
May-13,55136
Jun-13,-497774
Jul-13,360731
Aug-13,391243
Sep-13,339680
Oct-13,809253
Nov-13,924494
Dec-13,998347
Jan-14,-524902
Feb-14,747765
Mar-14,197783
Apr-14,131625
May-14,1016992
Jun-14,-930753
Jul-14,714387
Aug-14,201005
Sep-14,655535
Oct-14,845108
Nov-14,101736
Dec-14,-93063
Jan-15,984921
Feb-15,-362343
Mar-15,940457
Apr-15,216399
May-15,363036
Jun-15,672160
Jul-15,783533
Aug-15,1079882
Sep-15,288933
Oct-15,894500
Nov-15,411593
Dec-15,789575
Jan-16,355838
Feb-16,437489